_id,Canton,Circuito,Distrito,Edad,Estado Civil,Fecha Infracción,Hora Infracción,Nacionalidad,Provincia,Sexo,Zona,tipo_muert_matriz
1,ESMERALDAS,CENTRO,ESMERALDAS,22,SOLTERO,2014-04-30T00:00:00,2015-12-02T13:40:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Homicidios
2,SEVILLA_DE_ORO,SEVILLA DE ORO,PAUTE,51,SOLTERO,2014-04-30T00:00:00,,ECUADOR,AZUAY,MASCULINO,ZONA 6,Homicidios
3,QUEVEDO,DIVINO NIÑO,QUEVEDO,36,SOLTERO,2014-02-05T00:00:00,2015-12-02T04:30:00,ECUADOR,LOS_RIOS,FEMENINO,ZONA 5,Femicidios
4,GUAYAQUIL,MAPASINGUE,FLORIDA,17,SOLTERO,2014-02-05T00:00:00,2015-12-02T01:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
5,GONZANAMA,GONZANAMA,CALVAS,20,SOLTERO,2014-03-05T00:00:00,2015-12-02T19:50:00,ECUADOR,LOJA,MASCULINO,ZONA 7,Asesinatos
6,VINCES,ABRAS DE MANTEQUILLA,VINCES,38,SOLTERO,2014-03-05T00:00:00,2015-12-02T23:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
7,LATACUNGA,TERMINAL TERRESTRE,LATACUNGA,24,SOLTERO,2014-01-05T00:00:00,2015-12-02T21:00:00,ECUADOR,COTOPAXI,MASCULINO,ZONA 3,Asesinatos
8,RUMINAHUI,SAN RAFAEL,RUMIÑAHUI - MEJIA,65,CASADO,2014-04-05T00:00:00,2015-12-02T19:15:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 2,Asesinatos
9,GIRON,GIRON,GIRON,82,VIUDO,2014-03-05T00:00:00,,ECUADOR,AZUAY,FEMENINO,ZONA 6,Asesinatos
10,GUAYAQUIL,CISNE,PORTETE,21,SOLTERO,2014-04-05T00:00:00,2015-12-02T23:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
11,GUAYAQUIL,MARTHA DE ROLDOS,FLORIDA,28,SOLTERO,2014-03-05T00:00:00,2015-12-02T19:23:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
12,GUAYAQUIL,ANTEPARA,9 DE OCTUBRE,53,SOLTERO,2014-03-05T00:00:00,2015-12-02T22:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
13,GUAYAQUIL,TRINITARIA SUR,ESTEROS,19,SOLTERO,2014-04-05T00:00:00,2015-12-02T02:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
14,QUITO,MAGDALENA,ELOY ALFARO,27,SOLTERO,2014-05-05T00:00:00,2015-12-02T05:45:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
15,RIOBAMBA,QUIMIAG,RIOBAMBA,18,SOLTERO,2014-04-30T00:00:00,2015-12-02T00:00:00,ECUADOR,CHIMBORAZO,FEMENINO,ZONA 3,Homicidios
16,GUAYAQUIL,TRINITARIA NORTE,ESTEROS,26,SOLTERO,2014-05-05T00:00:00,2015-12-02T12:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
17,QUEVEDO,CONTROL,QUEVEDO,27,SOLTERO,2014-05-05T00:00:00,2015-12-02T22:20:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
18,SAN_JACINTO_DE_BUENA_FE,BUENA FE ESTE,BUENA FE,20,SOLTERO,2014-06-05T00:00:00,2015-12-02T20:31:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
19,QUEVEDO,GALO PLAZA,QUEVEDO,13,SOLTERO,2014-01-14T00:00:00,2015-12-02T11:16:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
20,PUERTO_FRANCISCO_DE_ORELLANA,NUEVO PARAISO,ORELLANA LORETO,31,SOLTERO,2014-01-26T00:00:00,2015-12-02T05:00:00,ECUADOR,ORELLANA,MASCULINO,ZONA 2,Asesinatos
21,QUITO,ITCHIMBIA,MANUELA SAENZ,59,CASADO,2014-07-05T00:00:00,2015-12-02T17:45:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
22,QUITO,SAN JUAN,MANUELA SAENZ,32,SOLTERO,2014-08-05T00:00:00,2015-12-02T14:00:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
23,SHUSHUFINDI,SHUSHUFINDI CENTRO,SHUSHUFINDI,30,SOLTERO,2014-08-05T00:00:00,2015-12-02T19:20:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Homicidios
24,GUAYAQUIL,CHILE,9 DE OCTUBRE,23,SOLTERO,2014-08-05T00:00:00,2015-12-02T22:45:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
25,QUITO,LA ROLDOS,LA DELICIA,19,SOLTERO,2014-08-05T00:00:00,2015-12-02T23:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
26,QUEVEDO,CONTROL,QUEVEDO,27,SOLTERO,2014-09-05T00:00:00,2015-12-02T11:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
27,ESMERALDAS,GUACHARACA,ESMERALDAS,41,SOLTERO,2014-10-05T00:00:00,2015-12-02T02:30:00,ECUADOR,ESMERALDAS,FEMENINO,ZONA 1,Asesinatos
28,GUAYAQUIL,MARTHA DE ROLDOS,FLORIDA,20,SOLTERO,2014-09-05T00:00:00,2015-12-02T15:30:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Asesinatos
29,GUAYAQUIL,MARTHA DE ROLDOS,FLORIDA,3,SOLTERO,2014-09-05T00:00:00,2015-12-02T15:30:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Homicidios
30,CUENCA,MOLLETURO,CUENCA SUR,24,SOLTERO,2014-10-05T00:00:00,2015-12-02T03:00:00,ECUADOR,AZUAY,MASCULINO,ZONA 6,Asesinatos
31,GUAYAQUIL,MONTE SINAI,NUEVA PROSPERINA,17,SOLTERO,2014-09-05T00:00:00,2015-12-02T12:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
32,QUININDE,ROSA ZARATE,QUININDE,32,SOLTERO,2014-10-05T00:00:00,2015-12-02T23:45:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
33,QUITO,CHILIBULO,ELOY ALFARO,24,SOLTERO,2014-11-05T00:00:00,2015-12-02T04:20:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
34,GUAYAQUIL,FLORESTA,SUR,20,SOLTERO,2014-11-05T00:00:00,2015-12-02T00:20:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
35,EL_TRIUNFO,EL TRIUNFO CENTRO,EL TRIUNFO BUCAY,26,SOLTERO,2014-10-05T00:00:00,2015-12-02T16:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
36,GUAYAQUIL,GUASMO,SUR,35,SOLTERO,2014-11-05T00:00:00,2015-12-02T02:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
37,GUAYAQUIL,GUASMO,SUR,35,CASADO,2014-10-05T00:00:00,2015-12-02T23:40:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
38,SANTA_ELENA,SANTA ELENA CENTRO,SANTA ELENA,39,DIVORCIADO,2014-11-05T00:00:00,2015-12-02T14:40:00,ECUADOR,SANTA_ELENA,MASCULINO,ZONA 5,Homicidios
39,GUAYAQUIL,SUBURBIO,PORTETE,30,SOLTERO,2014-11-05T00:00:00,2015-12-02T12:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
40,GUAYAQUIL,7 LAGOS,SUR,19,SOLTERO,2014-11-05T00:00:00,2015-12-02T23:16:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
41,ESMERALDAS,LA TOLITA,ESMERALDAS,42,SOLTERO,2014-11-05T00:00:00,2015-12-02T08:01:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
42,BABA,BABA,BABAHOYO,30,SOLTERO,2014-12-05T00:00:00,2015-12-02T22:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
43,TENA,AHUANO,TENA,77,SOLTERO,2014-11-02T00:00:00,2015-12-02T01:00:00,ECUADOR,NAPO,MASCULINO,ZONA 2,Asesinatos
44,QUITO,MONJAS COLLACOTO,MANUELA SAENZ,25,CASADO,2014-12-05T00:00:00,2015-12-02T07:30:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
45,SIMON_BOLIVAR,LORENZO DE GARAICOA,JUJAN SIMON BOLIVAR,55,SOLTERO,2014-12-05T00:00:00,2015-12-02T07:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
46,SANTO_DOMINGO,SANTA MARTHA SUR,SANTO DOMINGO ESTE,52,CASADO,2014-05-13T00:00:00,2015-12-02T23:50:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,FEMENINO,ZONA 4,Homicidios
47,QUITO,COLINAS DEL NORTE,LA DELICIA,21,SOLTERO,2014-05-15T00:00:00,2015-12-02T12:10:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
48,GUAYAQUIL,ESTEROS,ESTEROS,23,SOLTERO,2014-05-15T00:00:00,2015-12-02T11:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Homicidios
49,QUEVEDO,LA MERCED,QUEVEDO,32,SOLTERO,2014-05-15T00:00:00,2015-12-02T20:50:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
50,PALENQUE,JAUNECHE,VINCES,29,SOLTERO,2014-05-16T00:00:00,2015-12-02T06:00:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
51,MILAGRO,MARISCAL SUCRE,MILAGRO,42,SOLTERO,2014-05-16T00:00:00,2015-12-02T11:00:00,ECUADOR,GUAYAS,FEMENINO,ZONA 5,Asesinatos
52,AMBATO,LA MATRIZ,AMBATO NORTE,26,SOLTERO,2014-05-16T00:00:00,2015-12-02T10:30:00,ECUADOR,TUNGURAHUA,FEMENINO,ZONA 3,Asesinatos
53,SAN_LORENZO,CARONDELET,SAN LORENZO,34,SOLTERO,2014-05-17T00:00:00,2015-12-02T15:50:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
54,PASAJE,BUENA VISTA,PASAJE,32,SOLTERO,2014-05-18T00:00:00,2015-12-02T02:15:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Asesinatos
55,VINCES,VINCES SUR,VINCES,28,SOLTERO,2014-05-18T00:00:00,2015-12-02T20:45:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
56,QUEVEDO,GALO PLAZA,QUEVEDO,20,SOLTERO,2014-05-18T00:00:00,2015-12-02T21:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
57,QUITO,CARCELEN,LA DELICIA,24,SOLTERO,2014-05-18T00:00:00,2015-12-02T04:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
58,QUITO,CARCELEN,LA DELICIA,35,CASADO,2014-05-19T00:00:00,2015-12-02T04:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
59,QUITO,CARCELEN,LA DELICIA,8,SOLTERO,2014-05-18T00:00:00,2015-12-02T04:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
60,QUITO,CARCELEN,LA DELICIA,5,SOLTERO,2014-05-18T00:00:00,2015-12-02T04:00:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
61,QUITO,LA MARISCAL,EUGENIO ESPEJO,20,SOLTERO,2014-05-18T00:00:00,2015-12-02T12:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
62,LA_TRONCAL,TRONCAL CENTRO,LA TRONCAL,25,SOLTERO,2014-01-22T00:00:00,2015-12-02T01:00:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Homicidios
63,QUEVEDO,GALO PLAZA,QUEVEDO,20,SOLTERO,2014-05-19T00:00:00,2015-12-02T14:40:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
64,PORTOVIEJO,LOS CEREZOS,PORTOVIEJO,62,CASADO,2014-05-20T00:00:00,2015-12-02T04:45:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Homicidios
65,AMBATO,MIÑARICA,AMBATO SUR,62,DIVORCIADO,2014-05-20T00:00:00,2015-12-02T03:00:00,ECUADOR,TUNGURAHUA,FEMENINO,ZONA 3,Asesinatos
66,GUAYAQUIL,ALBORADA,MODELO,32,SOLTERO,2014-05-20T00:00:00,2015-12-02T22:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Sicariatos
67,SANTO_DOMINGO,EL COLORADO,SANTO DOMINGO OESTE,37,CASADO,2014-05-21T00:00:00,2015-12-02T21:30:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Asesinatos
68,DURAN,RECREO,DURAN,40,SOLTERO,2014-05-22T00:00:00,2015-12-02T18:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
69,LATACUNGA,GUAYTACAMA,LATACUNGA,63,CASADO,2014-05-23T00:00:00,2015-12-02T03:00:00,ECUADOR,COTOPAXI,MASCULINO,ZONA 3,Homicidios
70,RIOBAMBA,LA CONDAMINE,RIOBAMBA,27,SOLTERO,2014-05-24T00:00:00,2015-12-02T05:30:00,ECUADOR,CHIMBORAZO,MASCULINO,ZONA 3,Homicidios
71,SANTA_ROSA,BELLA MARIA,SANTA ROSA,57,CASADO,2014-05-24T00:00:00,2015-12-02T08:00:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Asesinatos
72,QUITO,SOLANDA,ELOY ALFARO,42,SOLTERO,2014-05-25T00:00:00,2015-12-02T02:29:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
73,QUITO,GUAYLLABAMBA,CALDERON,29,SOLTERO,2014-05-25T00:00:00,2015-12-02T01:15:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
74,CANAR,INGAPIRCA,CAÑAR,21,UNION LIBRE,2014-05-25T00:00:00,2015-12-02T01:45:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Homicidios
75,MANTA,UNIVERSIDAD,MANTA,24,SOLTERO,2014-05-25T00:00:00,2015-12-02T07:45:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Asesinatos
76,QUITO,CHILIBULO,ELOY ALFARO,28,SOLTERO,2014-05-26T00:00:00,2015-12-02T03:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
77,VINCES,ANTONIO SOTOMAYOR,VINCES,62,UNION LIBRE,2014-05-25T00:00:00,2015-12-02T20:30:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
78,NARANJAL,NARANJAL SUR,NARANJAL BALAO,24,SOLTERO,2014-05-26T00:00:00,2015-12-02T12:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
79,QUITO,MAGDALENA,ELOY ALFARO,29,UNION LIBRE,2014-05-26T00:00:00,2015-12-02T12:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
80,LA_TRONCAL,TRONCAL CENTRO,LA TRONCAL,54,SOLTERO,2014-04-02T00:00:00,2015-12-02T15:00:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Homicidios
81,LA_TRONCAL,TRONCAL OESTE,LA TRONCAL,30,SOLTERO,2014-04-24T00:00:00,2015-12-02T22:50:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Homicidios
82,BIBLIAN,BIBLIAN,AZOGUES,17,SOLTERO,2014-03-16T00:00:00,2015-12-02T19:45:00,ECUADOR,CANAR,MASCULINO,ZONA 6,Homicidios
83,ESMERALDAS,SAN MATEO,ESMERALDAS,57,DIVORCIADO,2014-05-27T00:00:00,2015-12-02T15:50:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
84,PUERTO_LOPEZ,PUERTO LOPEZ,JIPIJAPA,20,SOLTERO,2014-05-27T00:00:00,2015-12-02T12:00:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Homicidios
85,QUITO,LA BOTA,LA DELICIA,18,SOLTERO,2014-05-28T00:00:00,2015-12-02T12:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
86,CUENCA,TOTORACOCHA,CUENCA NORTE,43,DIVORCIADO,2014-05-29T00:00:00,2015-12-02T00:31:00,ECUADOR,AZUAY,FEMENINO,ZONA 6,Asesinatos
87,GUAYAQUIL,UNION DE BANANEROS,SUR,20,SOLTERO,2014-05-28T00:00:00,2015-12-02T21:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
88,CARLOS_JULIO_AROSEMENA_TOLA,AROSEMENA TOLA,TENA,76,VIUDO,2014-03-22T00:00:00,2015-12-02T12:00:00,ECUADOR,NAPO,MASCULINO,ZONA 2,Asesinatos
89,EL_GUABO,LA IBERIA,PASAJE,30,SOLTERO,2014-05-30T00:00:00,2015-12-02T00:30:00,ECUADOR,EL_ORO,FEMENINO,ZONA 7,Asesinatos
90,GENERAL_ANTONIO_ELIZALDE,BUCAY,EL TRIUNFO BUCAY,35,CASADO,2014-05-29T00:00:00,2015-12-02T20:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
91,SHUSHUFINDI,SHUSHUFINDI CENTRO,SHUSHUFINDI,47,CASADO,2014-05-31T00:00:00,2015-12-02T05:30:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
92,QUININDE,CUPA,QUININDE,41,SOLTERO,2014-05-30T00:00:00,2015-12-02T00:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
93,LA_MANA,LA MANA SUR,LA MANA,27,SOLTERO,2014-05-31T00:00:00,2015-12-02T04:30:00,ECUADOR,COTOPAXI,MASCULINO,ZONA 3,Asesinatos
94,QUITO,SOLANDA,ELOY ALFARO,17,SOLTERO,2014-05-31T00:00:00,2015-12-02T22:00:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
95,QUITO,POMASQUI,LA DELICIA,36,SOLTERO,2014-05-31T00:00:00,2015-12-02T20:30:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
96,GUAYAQUIL,BASTION POPULAR SUR,PASCUALES,33,SOLTERO,2014-05-31T00:00:00,2015-12-02T03:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
97,LAGO_AGRIO,SANTA CECILIA,LAGO AGRIO,22,SOLTERO,2014-01-06T00:00:00,2015-12-02T06:30:00,ECUADOR,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
98,LAGO_AGRIO,LAS PALMERAS,LAGO AGRIO,16,SOLTERO,2014-01-06T00:00:00,2015-12-02T04:00:00,COLOMBIA,SUCUMBIOS,MASCULINO,ZONA 1,Asesinatos
99,BALZAR,BALZAR SUR,BALZAR,36,SOLTERO,2014-01-06T00:00:00,2015-12-02T10:20:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
100,GUAYAQUIL,7 LAGOS,SUR,40,UNION LIBRE,2014-05-30T00:00:00,2015-12-02T23:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
101,NARANJAL,NARANJAL SUR,NARANJAL BALAO,70,DIVORCIADO,2014-01-06T00:00:00,2015-12-02T01:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
102,QUITO,ARGELIA,ELOY ALFARO,36,CASADO,2014-02-06T00:00:00,2015-12-02T09:15:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
103,SAN_LORENZO,FRONTERA,SAN LORENZO,33,SOLTERO,2014-02-06T00:00:00,2015-12-02T06:30:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Homicidios
104,MACHALA,27 DE FEBRERO,MACHALA,22,SOLTERO,2014-03-06T00:00:00,2015-12-02T01:30:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Homicidios
105,MACHALA,27 DE FEBRERO,MACHALA,66,VIUDO,2014-02-06T00:00:00,2015-12-02T22:00:00,ECUADOR,EL_ORO,MASCULINO,ZONA 7,Homicidios
106,SIMON_BOLIVAR,SIMON BOLIVAR,JUJAN SIMON BOLIVAR,37,UNION LIBRE,2014-02-06T00:00:00,2015-12-02T20:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Homicidios
107,LAGO_AGRIO,GENERAL FARFAN,LAGO AGRIO,46,CASADO,2014-03-06T00:00:00,2015-12-02T14:00:00,COLOMBIA,SUCUMBIOS,MASCULINO,ZONA 1,Homicidios
108,SIMON_BOLIVAR,SIMON BOLIVAR,JUJAN SIMON BOLIVAR,41,UNION LIBRE,2014-02-06T00:00:00,2015-12-02T20:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Homicidios
109,EL_TRIUNFO,EL TRIUNFO CENTRO,EL TRIUNFO BUCAY,39,UNION LIBRE,2014-03-06T00:00:00,2015-12-02T21:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
110,GUAYAQUIL,VENEZUELA,9 DE OCTUBRE,35,DIVORCIADO,2014-04-06T00:00:00,2015-12-02T21:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
111,SANTO_DOMINGO,VALLE HERMOSO,SANTO DOMINGO OESTE,51,CASADO,2014-03-06T00:00:00,2015-12-02T11:30:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Asesinatos
112,CAMILO_PONCE_ENRIQUEZ,CAMILO PONCE ENRIQUEZ,PONCE ENRIQUEZ,15,SOLTERO,2014-04-06T00:00:00,2015-12-02T17:20:00,ECUADOR,AZUAY,MASCULINO,ZONA 6,Asesinatos
113,BABAHOYO,PIMOCHA,BABAHOYO,21,SOLTERO,2014-05-06T00:00:00,2015-12-02T19:45:00,ECUADOR,LOS_RIOS,MASCULINO,ZONA 5,Asesinatos
114,GUAYAQUIL,ESTEROS,ESTEROS,28,CASADO,2014-06-06T00:00:00,2015-12-02T04:00:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Femicidios
115,GUAYAQUIL,TRINITARIA NORTE,ESTEROS,26,SOLTERO,2014-06-06T00:00:00,2015-12-02T23:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
116,GUAYAQUIL,MAPASINGUE,FLORIDA,29,SOLTERO,2014-07-06T00:00:00,2015-12-02T00:15:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
117,QUININDE,ROSA ZARATE,QUININDE,24,SOLTERO,2014-07-06T00:00:00,2015-12-02T21:00:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
118,GUAYAQUIL,GUASMO,SUR,42,CASADO,2014-07-06T00:00:00,2015-12-02T16:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
119,DURAN,ARBOLITO,DURAN,72,SOLTERO,2014-04-06T00:00:00,2015-12-02T00:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
120,GUAYAQUIL,SAUCES,MODELO,36,SOLTERO,2014-08-06T00:00:00,2015-12-02T06:00:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Asesinatos
121,CUENCA,CAYAMBE,CUENCA SUR,22,SOLTERO,2014-08-06T00:00:00,2015-12-02T01:00:00,ECUADOR,AZUAY,FEMENINO,ZONA 6,Asesinatos
122,COTACACHI,GARCIA MORENO,TIERRA DEL SOL,26,SOLTERO,2014-08-06T00:00:00,2015-12-02T04:00:00,ECUADOR,IMBABURA,MASCULINO,ZONA 1,Asesinatos
123,BOLIVAR,MEMBRILLO,BOLIVAR JUNIN,55,DIVORCIADO,2014-08-06T00:00:00,2015-12-02T19:15:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Asesinatos
124,SANTO_DOMINGO,BOMBOLI,SANTO DOMINGO OESTE,36,CASADO,2014-05-06T00:00:00,2015-12-02T13:30:00,ECUADOR,SANTO_DOMINGO_DE_LOS_TSACHILAS,MASCULINO,ZONA 4,Asesinatos
125,EL_EMPALME,EMPALME SUROESTE,EL EMPALME,26,SOLTERO,2014-10-06T00:00:00,2015-12-02T12:25:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
126,NARANJAL,NARANJAL SUR,NARANJAL BALAO,25,SOLTERO,2014-09-06T00:00:00,2015-12-02T23:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 5,Asesinatos
127,GUAYAQUIL,ALBORADA,MODELO,19,SOLTERO,2014-10-06T00:00:00,2015-12-02T23:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
128,QUITO,CHILLOGALLO,QUITUMBE,26,SOLTERO,2014-10-06T00:00:00,2015-12-02T22:10:00,ECUADOR,PICHINCHA,FEMENINO,ZONA 9,Homicidios
129,QUITO,PACTO,NANEGAL,23,UNION LIBRE,2014-10-06T00:00:00,2015-12-02T19:10:00,COLOMBIA,PICHINCHA,FEMENINO,ZONA 9,Homicidios
130,QUITO,EL MIRADOR,LA DELICIA,42,SOLTERO,2014-12-06T00:00:00,2015-12-02T03:40:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
131,GUAYAQUIL,JUAN MONTALVO,FLORIDA,35,CASADO,2014-11-06T00:00:00,2015-12-02T14:40:00,ECUADOR,GUAYAS,FEMENINO,ZONA 8,Asesinatos
132,GUAYAQUIL,PARAISO LA FLOR,NUEVA PROSPERINA,23,SOLTERO,2014-12-06T00:00:00,2015-12-02T18:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
133,SANTA_ELENA,MONTAÑITA,SANTA ELENA,26,SOLTERO,2014-12-06T00:00:00,2015-12-02T12:30:00,ECUADOR,SANTA_ELENA,MASCULINO,ZONA 5,Homicidios
134,GUAYAQUIL,FLORESTA,SUR,37,CASADO,2014-12-06T00:00:00,2015-12-02T19:00:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
135,GUAYAQUIL,ESTEROS,ESTEROS,28,SOLTERO,2014-12-06T00:00:00,2015-12-02T22:30:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
136,DURAN,RECREO,DURAN,22,SOLTERO,2014-06-13T00:00:00,2015-12-02T17:36:00,ECUADOR,GUAYAS,MASCULINO,ZONA 8,Asesinatos
137,GUANO,GUANO,GUANO,24,CASADO,2014-06-14T00:00:00,2015-12-02T08:00:00,ECUADOR,CHIMBORAZO,FEMENINO,ZONA 3,Asesinatos
138,QUININDE,CUBE,QUININDE,31,SOLTERO,2014-06-13T00:00:00,2015-12-02T23:30:00,ECUADOR,ESMERALDAS,MASCULINO,ZONA 1,Asesinatos
139,SANTA_ANA,SAN PABLO DE PUEBLO NUEVO,24 DE MAYO,34,SOLTERO,2014-06-14T00:00:00,2015-12-02T20:30:00,ECUADOR,MANABI,MASCULINO,ZONA 4,Homicidios
140,QUITO,CHILLOGALLO,QUITUMBE,22,SOLTERO,2014-06-14T00:00:00,2015-12-02T11:40:00,ECUADOR,PICHINCHA,MASCULINO,ZONA 9,Homicidios
